dataset,sweep,panel,level,n_H_level,method,excess,se,tau,tau_se,n_H,n_L,n
arena_33k,budget,all,-1.0,-1,consensus_cal,0.008875543362421945,0.00037761446056749,0.8667368421052631,0.005091596976549645,3801.82,210335.38,50
arena_33k,budget,all,-1.0,-1,dial_mu,0.008145284088781908,0.00039175374514568826,0.8802105263157896,0.004667859076828303,3801.82,210335.38,50
arena_33k,budget,all,-1.0,-1,human_only,0.008609624289417363,0.00040746629471867307,0.8736842105263158,0.0047837514949133405,3801.82,210335.38,50
arena_33k,budget,all,50.0,-1,consensus_cal,0.020698223573871407,0.0020649009488055573,0.8667368421052631,0.005091596976549645,50.0,210335.38,50
arena_33k,budget,all,50.0,-1,dial_mu,0.023536863270209166,0.002776435412685799,0.8673684210526317,0.004914326207028028,50.0,210335.38,50
arena_33k,budget,all,50.0,-1,human_only,6.65151864442666,0.4613866634311344,0.41246271965253906,0.0194424495317987,50.0,210335.38,50
arena_33k,budget,all,100.0,-1,consensus_cal,0.016270678617051112,0.001677280373916361,0.8667368421052631,0.005091596976549645,100.0,210335.38,50
arena_33k,budget,all,100.0,-1,dial_mu,0.016476461543242477,0.001656009408971782,0.8663157894736843,0.005097278573437081,100.0,210335.38,50
arena_33k,budget,all,100.0,-1,human_only,1.016990651818774,0.0994134634590339,0.5050526315789474,0.017408546560740038,100.0,210335.38,50
arena_33k,budget,all,200.0,-1,consensus_cal,0.012062997913317467,0.0006776457939460548,0.8667368421052631,0.005091596976549645,200.0,210335.38,50
arena_33k,budget,all,200.0,-1,dial_mu,0.016264597839311536,0.0037035770740817646,0.8616842105263158,0.007584733439986191,200.0,210335.38,50
arena_33k,budget,all,200.0,-1,human_only,0.221965216836939,0.03284410171220087,0.6435789473684211,0.011894004901294027,200.0,210335.38,50
arena_33k,budget,all,400.0,-1,consensus_cal,0.010254438135794358,0.00043290378372901994,0.8667368421052631,0.005091596976549645,400.0,210335.38,50
arena_33k,budget,all,400.0,-1,dial_mu,0.010321130055955599,0.0004520450489955278,0.868,0.004785736434515132,400.0,210335.38,50
arena_33k,budget,all,400.0,-1,human_only,0.04890789823432466,0.009195314652113179,0.7357894736842105,0.01028399932939619,400.0,210335.38,50
arena_33k,budget,all,800.0,-1,consensus_cal,0.009568352618919475,0.0003800950176110918,0.8667368421052631,0.005091596976549645,800.0,210335.38,50
arena_33k,budget,all,800.0,-1,dial_mu,0.009571448403698784,0.00041008790012136563,0.8669473684210527,0.005335782504335663,800.0,210335.38,50
arena_33k,budget,all,800.0,-1,human_only,0.019225541549695854,0.0008606710423654208,0.8031578947368422,0.007538320516989041,800.0,210335.38,50
arena_33k,budget,all,1600.0,-1,consensus_cal,0.009210820524942384,0.00039209345101702526,0.8667368421052631,0.005091596976549645,1600.0,210335.38,50
arena_33k,budget,all,1600.0,-1,dial_mu,0.009085492392303163,0.0004209386554509721,0.8677894736842106,0.004794705656151493,1600.0,210335.38,50
arena_33k,budget,all,1600.0,-1,human_only,0.012400333814112272,0.0005790125195998824,0.8387368421052632,0.006368842694939281,1600.0,210335.38,50
arena_33k,budget,large6,-1.0,-1,consensus_cal,0.009632900810540386,0.0003940869336161291,0.8663157894736843,0.004360902255639099,3801.82,60679.62,50
arena_33k,budget,large6,-1.0,-1,dial_mu,0.008355283019817132,0.0003877695554305941,0.876421052631579,0.004539361212199659,3801.82,60679.62,50
arena_33k,budget,large6,-1.0,-1,human_only,0.008609624289417363,0.00040746629471867307,0.8736842105263158,0.0047837514949133405,3801.82,210335.38,50
arena_33k,budget,large6,50.0,-1,consensus_cal,0.021307706721054122,0.002039776291747994,0.8663157894736843,0.004360902255639099,50.0,60679.62,50
arena_33k,budget,large6,50.0,-1,dial_mu,0.035338025416268834,0.0057261101338604275,0.8528421052631578,0.005484002503007581,50.0,60679.62,50
arena_33k,budget,large6,50.0,-1,human_only,6.65151864442666,0.4613866634311344,0.41246271965253906,0.0194424495317987,50.0,210335.38,50
arena_33k,budget,large6,100.0,-1,consensus_cal,0.016948670686163472,0.0016941644374756839,0.8663157894736843,0.004360902255639099,100.0,60679.62,50
arena_33k,budget,large6,100.0,-1,dial_mu,0.01897910959263202,0.0017012809494729572,0.8572631578947368,0.004869580667190157,100.0,60679.62,50
arena_33k,budget,large6,100.0,-1,human_only,1.016990651818774,0.0994134634590339,0.5050526315789474,0.017408546560740038,100.0,210335.38,50
arena_33k,budget,large6,200.0,-1,consensus_cal,0.012868736446435769,0.0006770470616327155,0.8663157894736843,0.004360902255639099,200.0,60679.62,50
arena_33k,budget,large6,200.0,-1,dial_mu,0.016025880787442322,0.0013927486738360506,0.8541052631578948,0.005380097240996056,200.0,60679.62,50
arena_33k,budget,large6,200.0,-1,human_only,0.221965216836939,0.03284410171220087,0.6435789473684211,0.011894004901294027,200.0,210335.38,50
arena_33k,budget,large6,400.0,-1,consensus_cal,0.01097386180484932,0.0004517393799590141,0.8663157894736843,0.004360902255639099,400.0,60679.62,50
arena_33k,budget,large6,400.0,-1,dial_mu,0.011678678433418495,0.0004881756621955277,0.8618947368421053,0.005266508063722714,400.0,60679.62,50
arena_33k,budget,large6,400.0,-1,human_only,0.04890789823432466,0.009195314652113179,0.7357894736842105,0.01028399932939619,400.0,210335.38,50
arena_33k,budget,large6,800.0,-1,consensus_cal,0.010316103647760528,0.0003967869023316456,0.8663157894736843,0.004360902255639099,800.0,60679.62,50
arena_33k,budget,large6,800.0,-1,dial_mu,0.010389185778168759,0.0004647096221414854,0.8652631578947368,0.004886639641886294,800.0,60679.62,50
arena_33k,budget,large6,800.0,-1,human_only,0.019225541549695854,0.0008606710423654208,0.8031578947368422,0.007538320516989041,800.0,210335.38,50
arena_33k,budget,large6,1600.0,-1,consensus_cal,0.009965470568547317,0.0004085616867249392,0.8663157894736843,0.004360902255639099,1600.0,60679.62,50
arena_33k,budget,large6,1600.0,-1,dial_mu,0.009503246002866632,0.00043517271214162323,0.8642105263157894,0.00471950521096999,1600.0,60679.62,50
arena_33k,budget,large6,1600.0,-1,human_only,0.012400333814112272,0.0005790125195998824,0.8387368421052632,0.006368842694939281,1600.0,210335.38,50
arena_33k,budget,small6,-1.0,-1,consensus_cal,0.011386648197379263,0.0004965493519103931,0.8509473684210527,0.005416540518425371,3801.82,58305.96,50
arena_33k,budget,small6,-1.0,-1,dial_mu,0.00826646755797348,0.00040702261421329984,0.8877894736842106,0.0051004716904176715,3801.82,58305.96,50
arena_33k,budget,small6,-1.0,-1,human_only,0.008609624289417363,0.00040746629471867307,0.8736842105263158,0.0047837514949133405,3801.82,210335.38,50
arena_33k,budget,small6,50.0,-1,consensus_cal,0.023863607078713028,0.002351074879126575,0.8509473684210527,0.005416540518425371,50.0,58305.96,50
arena_33k,budget,small6,50.0,-1,dial_mu,0.09222560987269773,0.02393930643898558,0.8195789473684211,0.008522535662023606,50.0,58305.96,50
arena_33k,budget,small6,50.0,-1,human_only,6.65151864442666,0.4613866634311344,0.41246271965253906,0.0194424495317987,50.0,210335.38,50
arena_33k,budget,small6,100.0,-1,consensus_cal,0.01935886532443781,0.0018045618510884208,0.8509473684210527,0.005416540518425371,100.0,58305.96,50
arena_33k,budget,small6,100.0,-1,dial_mu,0.024533680003620398,0.0025383847239920806,0.8383157894736842,0.0071914296263838,100.0,58305.96,50
arena_33k,budget,small6,100.0,-1,human_only,1.016990651818774,0.0994134634590339,0.5050526315789474,0.017408546560740038,100.0,210335.38,50
arena_33k,budget,small6,200.0,-1,consensus_cal,0.014540986732202464,0.0008271627916332734,0.8509473684210527,0.005416540518425371,200.0,58305.96,50
arena_33k,budget,small6,200.0,-1,dial_mu,0.02173454361011616,0.002522133179065691,0.8341052631578948,0.007234067430194485,200.0,58305.96,50
arena_33k,budget,small6,200.0,-1,human_only,0.221965216836939,0.03284410171220087,0.6435789473684211,0.011894004901294027,200.0,210335.38,50
arena_33k,budget,small6,400.0,-1,consensus_cal,0.01286576762905345,0.0005633616750963217,0.8509473684210527,0.005416540518425371,400.0,58305.96,50
arena_33k,budget,small6,400.0,-1,dial_mu,0.013714341670200317,0.0007618333189938147,0.8465263157894738,0.007104940916430688,400.0,58305.96,50
arena_33k,budget,small6,400.0,-1,human_only,0.04890789823432466,0.009195314652113179,0.7357894736842105,0.01028399932939619,400.0,210335.38,50
arena_33k,budget,small6,800.0,-1,consensus_cal,0.012098255249806155,0.0005057889302435264,0.8509473684210527,0.005416540518425371,800.0,58305.96,50
arena_33k,budget,small6,800.0,-1,dial_mu,0.01149430406153006,0.0005340333649161977,0.8553684210526317,0.005625025046897458,800.0,58305.96,50
arena_33k,budget,small6,800.0,-1,human_only,0.019225541549695854,0.0008606710423654208,0.8031578947368422,0.007538320516989041,800.0,210335.38,50
arena_33k,budget,small6,1600.0,-1,consensus_cal,0.011706190960631881,0.0004932091017347347,0.8509473684210527,0.005416540518425371,1600.0,58305.96,50
arena_33k,budget,small6,1600.0,-1,dial_mu,0.010406095080593664,0.0004916564124324887,0.8574736842105264,0.00598647353122369,1600.0,58305.96,50
arena_33k,budget,small6,1600.0,-1,human_only,0.012400333814112272,0.0005790125195998824,0.8387368421052632,0.006368842694939281,1600.0,210335.38,50
arena_33k,llm_budget,all,500.0,300,consensus_cal,0.05215977839046618,0.0022205290721447174,0.6103157894736843,0.012039432451080688,300.0,500.0,50
arena_33k,llm_budget,all,500.0,300,dial_mu,0.03756330773070191,0.002279521008710728,0.7290526315789474,0.010771830693076202,300.0,500.0,50
arena_33k,llm_budget,all,500.0,300,human_only,0.06246475150581651,0.009975275111957732,0.7172631578947368,0.010760068389164597,300.0,500.0,50
arena_33k,llm_budget,all,1000.0,300,consensus_cal,0.0646941159216026,0.004591066292657352,0.6522105263157895,0.015788643014311442,300.0,1000.0,50
arena_33k,llm_budget,all,1000.0,300,dial_mu,0.026324357343795183,0.0018106492126515308,0.7776842105263158,0.008858866013112084,300.0,1000.0,50
